car_key,Avg_Price,Avg_Mileage,Avg_Value_per_mile,Nr_Available
2023 CHEVROLET TRAILBLAZER,23179.8,26696.0,1.4273641189663284,220
2024 CHEVROLET TRAX,22495.0,16147.0,1.3931380442187402,44
2024 CHEVROLET EQUINOX,23999.0,17937.0,1.3379606400178403,44
2024 MAZDA CX-30,24738.0,19264.0,1.284156976744186,44
2023 CHEVROLET EQUINOX,24222.5,26172.0,1.191226130666401,176
2018 FORD ESCAPE,16900.0,19985.0,0.845634225669252,1
2018 SUBARU FORESTER,21164.333333333332,37920.666666666664,0.7390413499608982,3
2022 KIA SOUL,19794.0,29019.0,0.6821048278713946,44
2023 NISSAN ROGUE,22713.0,34343.0,0.6674075043992478,88
2023 TOYOTA COROLLA CROSS,24994.0,41285.0,0.6054014775342134,44
2023 CHEVROLET BOLT EUV,17588.0,29461.0,0.5969926343301314,44
2022 JEEP RENEGADE,20291.0,39423.333333333336,0.5881945062682665,132
2017 FORD EXPLORER,21995.0,40080.0,0.5487774451097804,1
2022 CHEVROLET EQUINOX,20857.0,43173.333333333336,0.49227266165027495,132
2022 VOLKSWAGEN TAOS,20418.0,43868.0,0.4654417798851098,44
2018 JEEP COMPASS,16995.0,36936.0,0.46012020792722547,1
2022 MITSUBISHI OUTLANDER,19888.0,49138.0,0.4047376775611543,44
2018 CHEVROLET TRAX,13999.0,35714.0,0.3919751358010864,1
2018 MAZDA CX-5,20464.5,56079.0,0.3765001348622406,2
2022 HONDA HR-V,20995.0,56776.0,0.36978652951951524,44
2018 NISSAN ROGUE,18499.0,50662.0,0.36514547392522995,1
2018 MAZDA CX-3,18600.0,55044.0,0.3379114889906257,1
