MAKE,MODEL,MODEL_YR,BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,PRODUCTION_RELEASE,VEHICLE_CLASS,BODY_FRAME,NUM_OF_SEATING,SEAT_LOC,SEAT_LOC_COMMENTS,MIN_GROSS_WEIGHT,MAX_GROSS_WEIGHT,UPPER_BELT_ANCHORAGE,UPPER_BELT_ANCHORAGE_LOC,SEAT_BELT_PRETENSIONER,SEAT_BELT_PRETENSIONER_LOC,LOAD_LIMITERS,LOAD_LIMITERS_LOC,FRNT_BELT_INDICATOR,FRNT_BELT_LOC,REAR_BELT_INDICATOR,LATCH_REAR_POSITION,HEAD_SAB,HEAD_SAB_TYPE,HEAD_SAB_LOC,HEAD_SAB_MOUNT_LOC,HEAD_SAB_MEET_REQUIREMENTS,HEAD_SAB_DEPLOY_IN_ROLLOVER,TORSO_SAB,TORSO_SAB_TYPE,TORSO_SAB_LOC,TORSO_SAB_MOUNT_LOC,KNEE_BOLSTERS,KNEE_BOLSTERS_LOC,ADL,HEAD_RESTRAINT_IND,DYNAMIC_HEAD_RESTRAINT_IND,BETI,BLIND_SPOT_DETECTION,DAY_RUN_LIGHTS,ADAPTIVE_CRUISE_CONTROL,ABS,ARS,ARS_LOC,AUTO_CRASH_NOTIFICATION,CRASH_DATA_RECORDER,ANTI_THEFT_DEVICE,ANTI_THEFT_DEVICE_TYPE,FRNT_COLLISION_WARNING,NHTSA_FRNT_COLLISION_WARNING,NHTSA_FCW_EVALUATION,LANE_DEPARTURE_WARNING,NHTSA_LANE_DEPARTURE_WARNING,NHTSA_LDW_EVALUATION,CRASH_IMMINENT_BRAKE,NHTSA_CRASH_IMMINENT_BRAKE,NHTSA_CIB_EVALUATION,DYNAMIC_BRAKE_SUPPORT,NHTSA_DYNAMIC_BRAKE_SUPPORT,NHTSA_DBS_EVALUATION,NHTSA_ESC,PELVIS_SAB,PELVIS_SAB_TYPE,PELVIS_SAB_LOC,PELVIS_SAB_MOUNT_LOC,OVERALL_STARS,FRNT_TEST_NO,FRNT_VIN,FRNT_DRIV_STARS,FRNT_PASS_STARS,FRNT_SAFETY_CONCERN_DRIV,FRNT_SAFETY_CONCERN_PASS,FRNT_FOOT_NOTES,FRNT_FOOT_NOTES_PASS,OVERALL_FRNT_STARS,CURB_WEIGHT,FRNT_TESTED_WITH,HIC15_DRIV,CHEST_DEFL_DRIV,LEFT_FEMUR_DRIV,RIGHT_FEMUR_DRIV,NIJ_DRIV,NECK_TENS_DRIV,NET_COMP_DRIV,HIC15_PASS,CHEST_DEFL_PASS,LEFT_FEMUR_PASS,RIGHT_FEMUR_PASS,NIJ_PASS,NECK_TENS_PASS,NET_COMP_PASS,SIDE_TEST_NO,SIDE_VIN,SIDE_DRIV_STARS,SIDE_PASS_STARS,SIDE_BARRIER_STAR,COMB_FRNT_STAR,COMB_REAR_STAR,SIDE_SAFETY_CONCERN_DRIV,SIDE_SAFETY_CONCERN_PASS,SIDE_FOOT_NOTES,SIDE_FOOT_NOTES_PASS,OVERALL_SIDE_STARS,SIDE_TESTED_WITH,SIDE_HIC_36_DRIV,RIB_DEFLECTION_DRIV,ABDOMEN_FORCE_DRIV,SYMPHYSIS_FORCE_DRIV,SIDE_HIC_36_PASS,PELVIC_FORCE_PASS,POLE_TEST_NO,POLE_VIN,SIDE_POLE_STARS,POLE_SAFETY_CONCERN,POLE_FOOT_NOTES,POLE_TESTED_WITH,POLE_HIC_36_DRIV,PELVIC_FORCE,ROLLOVER_POSSIBILITY,STATIC_STABI_FACTOR,TIP,ROLL_SAFETY_CONCERN,ROLL_FOOT_NOTES,ROLLOVER_STARS,NHTSA_BACKUP_CAMERA,BACKUP_CAMERA
ACURA,MDX,2024,SUV,MPV,FWD,1,, ,7,"1, 3, 4, 5, 6, 7, 9",,5600.0,5820.0,Standard,"1, 3",Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,"1, 3",,"4, 5, 6",Standard,Head Protection,"1, 3, 4, 6, 7, 9", ,Yes, ,Standard,Torso and/or Pelvis Protection,"1, 3", ,Standard,"1, 3",,"1, 3, 4, 5, 6, 7, 9",,,Standard, ,,,Standard,"1, 3, 4, 6, R", ,Standard, , ,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,, , , , ,5.0,11663.0,5J8YE1H30NL001570,4.0,4.0,,,,,4.0,4488.0,"FRONTAL AIR BAG,KNEE AIR BAG",243.752,23.921,2061.157,2317.652,0.29,1354.183,261.062,288.27,17.196,1744.402,2037.548,0.3,544.159,333.11,11661.0,5J8YD9H33NL006246,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",106.597,14.831,466.768,1005.993,142.448,746.635,11662.0,5J8YD9H39NL006252,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",549.43,1886.689,0.151,1.27,No Tip,,,4.0,,
ACURA,RDX,2024,SUV,MPV,AWD,1,, ,5,"1, 3, 4, 5, 6",,4784.0,5027.0,Standard,"1, 3",Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,"1, 3",,"4, 6",Standard,Head Protection,"1, 3, 4, 6", , , ,Standard,Torso and/or Pelvis Protection,"1, 3", , ,"1, 3",,"1, 3, 4, 5, 6",,,Standard, ,,,Standard,"1,3,4,6,R", ,Standard, , ,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,, , , , ,5.0,10556.0,5J8TC2H31KL012420,4.0,4.0,,,,,4.0,3989.0,"FRONTAL AIR BAG,KNEE AIR BAG",300.201,27.321,1457.93,2063.174,0.26,1165.62,100.635,352.628,15.3,1611.771,1961.714,0.3,438.544,372.26,10364.0,5J8TC1H3XKL001670,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.71,15.514,577.103,964.576,123.639,2055.456,10365.0,5J8TC1H36KL001665,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",485.973,3130.952,0.165,1.2372,No Tip,,,4.0,,
ACURA,RDX,2024,SUV,MPV,FWD,1,, ,5,"1, 3, 4, 5, 6",,4784.0,5027.0,Standard,"1, 3",Standard,"1, 3, 4, 6",Standard,"1, 3, 4, 6",,"1, 3",,"4, 6",Standard,Head Protection,"1, 3, 4, 6", , , ,Standard,Torso and/or Pelvis Protection,"1, 3", , ,"1, 3",,"1, 3, 4, 5, 6",,,Standard, ,,,Standard,"1,3,4,6,R", ,Standard, , ,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,, , , , ,5.0,10556.0,5J8TC2H31KL012420,4.0,4.0,,,,,4.0,3989.0,"FRONTAL AIR BAG,KNEE AIR BAG",300.201,27.321,1457.93,2063.174,0.26,1165.62,100.635,352.628,15.3,1611.771,1961.714,0.3,438.544,372.26,10364.0,5J8TC1H3XKL001670,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.71,15.514,577.103,964.576,123.639,2055.456,10365.0,5J8TC1H36KL001665,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",485.973,3130.952,0.165,1.2372,No Tip,,,4.0,,
ACURA,ZDX,2024,SUV,MPV,AWD,1,, ,5,"1,3,4,5,6",,6834.0,7055.0,Standard,"1,3",Standard,"1,3,4,6",Standard,"1,3,4,6",,"1,3,4,5,6",,"4,6",Standard,Head Protection,"1,3,4,6", ,Yes, ,Standard,Torso and/or Pelvis Protection,"1,3", ,Standard,"1,3",,"1,3,4,5,6",,,Standard, ,,,Standard,"1,3,4,6,R", ,Standard, , ,Standard,Standard & Optional,Meets Performance Criteria,Standard,Standard & Optional,Meets Performance Criteria,Standard,Standard & Optional,Meets Performance Criteria,Standard,Standard & Optional,Meets Performance Criteria,, , , , ,5.0,15182.0,4W5KHNRL4RZ502226,5.0,5.0,,,,,5.0,5760.0,"FRONTAL AIRBAG,KNEE AIR BAG",246.313,22.759,624.268,631.112,0.23,727.422,78.403,241.832,15.02,1209.47,1161.85,0.27,625.678,160.76,15181.0,4W5KHMRK6RZ500818,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",55.125,23.854,731.205,724.399,90.628,1314.45,15183.0,4W5KHMRK6RZ501497,5.0,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",402.044,2887.05,0.087,1.53,No Tip,,,5.0,,
ACURA,ZDX,2024,SUV,MPV,RWD,1,, ,5,"1,3,4,5,6",,6834.0,7055.0,Standard,"1,3",Standard,"1,3,4,6",Standard,"1,3,4,6",,"1,3,4,5,6",,"4,6",Standard,Head Protection,"1,3,4,6", ,Yes, ,Standard,Torso and/or Pelvis Protection,"1,3", ,Standard,"1,3",,"1,3,4,5,6",,,Standard, ,,,Standard,"1,3,4,6,R", ,Standard, , ,Standard,Standard & Optional,Meets Performance Criteria,Standard,Standard & Optional,Meets Performance Criteria,Standard,Standard & Optional,Meets Performance Criteria,Standard,Standard & Optional,Meets Performance Criteria,, , , , ,5.0,15182.0,4W5KHNRL4RZ502226,5.0,5.0,,,,,5.0,5760.0,"FRONTAL AIRBAG,KNEE AIR BAG",,,,,,,,,,,,,,,15181.0,4W5KHMRK6RZ500818,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,,,,,15183.0,4W5KHMRK6RZ501497,5.0,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,0.092,1.5,No Tip,,,5.0,,
AUDI,Q3,2024,SUV,MPV,AWD,1,, ,5,"1,3,4,5,6", ,5126.0,5126.0,Standard,"1,3",Standard,"1,3,4,6",Standard,"1,3,4,6",,"1,3",,"4,6",Standard,Head Protection,"1,3,4,6", ,Yes, ,Standard,Torso and/or Pelvis Protection,"1,3", ,Standard,"1,3",,"1,3,4,5,6",Not Available,,Standard, ,,,Standard/Optional,"1,3,4,6/R", ,Standard, , ,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,, , , , ,5.0,10925.0,WA1AECF30K1084787,4.0,4.0,,,,,4.0,3863.0,"CURTAIN AIR BAG,FRONTAL AIR BAG,KNEE AIR BAG",325.985,21.913,1045.148,1613.257,0.39,1526.623,154.881,345.55,14.002,1159.537,1108.702,0.35,826.872,369.649,10823.0,WA1AECF31K1082840,5.0,5.0,5.0,5.0,5.0,,,,These ratings do not apply to vehicles with optional rear seat torso/pelvis airbags.  ,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",87.59,16.523,420.516,1480.595,158.999,2811.672,10821.0,WA1AECF3XK1081833,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",504.228,2157.631,0.164,1.24,No Tip,,,4.0,,
AUDI,Q4 E-TRON,2024,SUV,MPV,AWD,1,, ,5,"1,3,4,5,6", ,6008.0,6019.0,Standard,"1,3",Standard,"1,3,4,6",Standard,"1,3,4,6",,"1,3",,"4,6",Standard,Head Protection,"1,3,4,6", ,Yes, ,Standard,Torso and/or Pelvis Protection,"1,3,4,6", ,,,,"1,3,4,5,6",Not Available,,Standard, ,,,Standard/Optional,"1,3,4,6/R", ,Standard, , ,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,, , , , ,5.0,14252.0,WA1J2BFZ5NP047937,5.0,4.0,,,,,4.0,4981.0,"FRONTAL AIRBAG,KNEE AIR BAG",,,,,,,,,,,,,,,14251.0,WA1H2BFZ4NP054134,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,,,,,14250.0,WA1J2BFZ4NP052465,3.0,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,0.113,1.39,No Tip,,,4.0,,
AUDI,Q4 SPORTBACK E-TRON,2024,SUV,MPV,AWD,1,, ,5,"1,3,4,5,6", ,6030.0,6030.0,Standard,"1,3",Standard,"1,3,4,6",Standard,"1,3,4,6",,"1,3",,"4,6",Standard,Head Protection,"1,3,4,6", ,No, ,Standard,Torso and/or Pelvis Protection,"1,3,4,6", ,,,,"1,3,4,5,6",Not Available,,Standard, ,,,Standard/Optional,"1,3,4,6/R", ,Standard, , ,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,, , , , ,5.0,14252.0,WA1J2BFZ5NP047937,5.0,4.0,,,,,4.0,4981.0,"FRONTAL AIRBAG,KNEE AIR BAG",,,,,,,,,,,,,,,14251.0,WA1H2BFZ4NP054134,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,,,,,14250.0,WA1J2BFZ4NP052465,3.0,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,0.113,1.39,No Tip,,,4.0,,
AUDI,Q5,2024,SUV,MPV,AWD,1,, ,5,"1,3,4,5,6", ,5379.0,5489.0,Standard,"1,3",Standard,"1,3,4,6",Standard,"1,3,4,6",,"1,3",,"4,6",Standard,Head Protection,"1,3,4,6", ,Yes, ,Standard,Torso and/or Pelvis Protection,"1,3", ,,,,"1,3,4,5,6",Not Available,,Standard, ,,,Standard/Optional,"1,3,4,6/R", ,Standard, , ,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,, , , , ,5.0,10183.0,WA1ANAFY2J2063853,5.0,5.0,,,,,5.0,4088.0,"CURTAIN AIR BAG,FRONTAL AIR BAG",283.565,24.92,356.943,218.1,0.22,957.703,194.477,186.709,17.657,401.558,243.937,0.34,597.959,134.221,10170.0,WA1ANAFY2J2022784,5.0,5.0,5.0,5.0,5.0,,,,These ratings do not apply to vehicles with optional rear seat torso/pelvis airbags.,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",60.191,14.523,436.728,1239.435,184.597,3633.222,10173.0,WA1ANAFY3J2050951,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",219.41,2669.977,0.164,1.24,No Tip,,,4.0,,
AUDI,Q5 SPORTBACK,2024,SUV,MPV,AWD,1,, ,5,"1,3,4,5,6", ,5489.0,5489.0,Standard,"1,3",Standard,"1,3,4,6",Standard,"1,3,4,6",,"1,3",,"4,6",Standard,Head Protection,"1,3,4,6", ,Yes, ,Standard,Torso and/or Pelvis Protection,"1,3", ,,,,"1,3,4,5,6",Not Available,,Standard, ,,,Standard/Optional,"1,3,4,6/R", ,Standard, , ,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,, , , , ,5.0,10183.0,WA1ANAFY2J2063853,5.0,5.0,,,,,5.0,4088.0,"CURTAIN AIR BAG,FRONTAL AIR BAG",283.565,24.92,356.943,218.1,0.22,957.703,194.477,186.709,17.657,401.558,243.937,0.34,597.959,134.221,10170.0,WA1ANAFY2J2022784,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",60.191,14.523,436.728,1239.435,184.597,3633.222,10173.0,WA1ANAFY3J2050951,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",219.41,2669.977,0.164,1.24,No Tip,,,4.0,,
