BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,NUM_OF_SEATING,OVERALL_STARS,ROLLOVER_POSSIBILITY,ROLLOVER_STARS,car_key,comb08,cylinders,fuelType,make,model,trany,VClass,year,youSaveSpend,baseModel,guzzler
SUV,MPV,AWD,5,5.0,0.179,4.0,2017 BUICK ENCORE,28.0,4.0,Regular,Buick,Encore,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,0.0,Encore,
SUV,MPV,AWD,5,5.0,0.179,4.0,2017 BUICK ENCORE,27.0,4.0,Regular,Buick,Encore AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,-250.0,Encore,
SUV,MPV,AWD,5,5.0,0.179,4.0,2017 BUICK ENCORE,30.0,4.0,Regular,Buick,Encore,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,500.0,Encore,
SUV,MPV,AWD,5,5.0,0.179,4.0,2017 BUICK ENCORE,28.0,4.0,Regular,Buick,Encore AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,0.0,Encore,
SUV,MPV,AWD,5,5.0,0.159,4.0,2017 BUICK ENVISION,24.0,4.0,Regular,Buick,Envision AWD,Automatic 6-spd,Small Sport Utility Vehicle 4WD,2017.0,-1500.0,Envision,
SUV,MPV,AWD,5,5.0,0.159,4.0,2017 BUICK ENVISION,25.0,4.0,Regular,Buick,Envision FWD,Automatic 6-spd,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Envision,
SUV,MPV,AWD,5,4.0,0.174,4.0,2017 CHEVROLET EQUINOX,23.0,4.0,Regular,Chevrolet,Equinox AWD,Automatic 6-spd,Small Sport Utility Vehicle 4WD,2017.0,-1750.0,Equinox,
SUV,MPV,AWD,5,4.0,0.174,4.0,2017 CHEVROLET EQUINOX,25.0,4.0,Regular,Chevrolet,Equinox FWD,Automatic 6-spd,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Equinox,
SUV,MPV,AWD,5,5.0,0.179,4.0,2017 CHEVROLET TRAX,28.0,4.0,Regular,Chevrolet,Trax,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,0.0,Trax,
SUV,MPV,AWD,5,5.0,0.179,4.0,2017 CHEVROLET TRAX,27.0,4.0,Regular,Chevrolet,Trax AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,-250.0,Trax,
SUV,MPV,AWD,5,5.0,0.155,4.0,2017 FORD EDGE,24.0,4.0,Regular,Ford,Edge FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-1500.0,Edge,
SUV,MPV,AWD,5,5.0,0.155,4.0,2017 FORD EDGE,24.0,4.0,Regular,Ford,Edge FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-1500.0,Edge,
SUV,MPV,AWD,5,5.0,0.155,4.0,2017 FORD EDGE,23.0,4.0,Regular,Ford,Edge AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,-1750.0,Edge,
SUV,MPV,AWD,5,5.0,0.185,4.0,2017 FORD ESCAPE,24.0,4.0,Regular,Ford,Escape FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-1500.0,Escape,
SUV,MPV,AWD,5,5.0,0.185,4.0,2017 FORD ESCAPE,26.0,4.0,Regular,Ford,Escape FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-500.0,Escape,
SUV,MPV,AWD,5,5.0,0.185,4.0,2017 FORD ESCAPE,25.0,4.0,Regular,Ford,Escape FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Escape,
SUV,MPV,AWD,5,5.0,0.185,4.0,2017 FORD ESCAPE,23.0,4.0,Regular,Ford,Escape AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,-1750.0,Escape,
SUV,MPV,AWD,5,5.0,0.185,4.0,2017 FORD ESCAPE,24.0,4.0,Regular,Ford,Escape AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,-1500.0,Escape,
SUV,MPV,AWD,5 to 7,5.0,0.15,4.0,2017 GMC ACADIA,23.0,4.0,Regular,GMC,Acadia FWD,Automatic 6-spd,Standard Sport Utility Vehicle 2WD,2017.0,-1750.0,Acadia,
SUV,MPV,AWD,5 to 7,5.0,0.15,4.0,2017 GMC ACADIA,23.0,4.0,Regular,GMC,Acadia AWD,Automatic 6-spd,Standard Sport Utility Vehicle 4WD,2017.0,-1750.0,Acadia,
SUV,MPV,AWD,5,4.0,0.174,4.0,2017 GMC TERRAIN,23.0,4.0,Regular,GMC,Terrain AWD,Automatic 6-spd,Small Sport Utility Vehicle 4WD,2017.0,-1750.0,Terrain,
SUV,MPV,AWD,5,4.0,0.174,4.0,2017 GMC TERRAIN,25.0,4.0,Regular,GMC,Terrain FWD,Automatic 6-spd,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Terrain,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HONDA CR-V,28.0,4.0,Regular,Honda,CR-V FWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2017.0,0.0,CR-V,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HONDA CR-V,30.0,4.0,Regular,Honda,CR-V FWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2017.0,500.0,CR-V,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HONDA CR-V,27.0,4.0,Regular,Honda,CR-V AWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 4WD,2017.0,-250.0,CR-V,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HONDA CR-V,29.0,4.0,Regular,Honda,CR-V AWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 4WD,2017.0,250.0,CR-V,
SUV,MPV,AWD,7 or 8,5.0,0.164,4.0,2017 HONDA PILOT,23.0,6.0,Regular,Honda,Pilot FWD,Automatic (S9),Small Sport Utility Vehicle 2WD,2017.0,-1750.0,Pilot,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HYUNDAI TUCSON,26.0,4.0,Regular,Hyundai,Tucson FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-500.0,Tucson,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HYUNDAI TUCSON,27.0,4.0,Regular,Hyundai,Tucson FWD,Automatic (AM7),Small Sport Utility Vehicle 2WD,2017.0,-250.0,Tucson,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HYUNDAI TUCSON,28.0,4.0,Regular,Hyundai,Tucson Eco FWD,Automatic (AM7),Small Sport Utility Vehicle 2WD,2017.0,0.0,Tucson,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HYUNDAI TUCSON,23.0,4.0,Regular,Hyundai,Tucson AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,-1750.0,Tucson,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HYUNDAI TUCSON,25.0,4.0,Regular,Hyundai,Tucson AWD,Automatic (AM7),Small Sport Utility Vehicle 4WD,2017.0,-1000.0,Tucson,
