year,make,model,mileage,price,dealer contact
2022,Toyota,4Runner SR5 Premium,"18,101","$44,727 ",(315) 915-4141
2024,Mazda,CX-50 AWD 2.5 S,"5,115","$28,344 ",(405) 292-4076
2025,Hyundai,Santa Fe SEL,16,"$38,499 ",(607) 288-0011
2023,Toyota,bZ4X Limited,"6,773","$28,420 ",(971) 385-4407
2021,Ford,Mustang Mach-E GT,"39,640","$28,740 ",(918) 516-1041
2024,Nissan,Rogue Platinum,"2,271","$35,989 ",(854) 600-1273
2023,Land Rover,Range Rover Evoque SE,"16,409","$35,995 ",(862) 420-3313
2023,Land Rover,Range Rover Evoque SE,"16,533","$35,995 ",(862) 420-3313
2022,Acura,RDX A-Spec,"15,810","$39,455 ",(425) 329-3455
2023,Land Rover,Range Rover Velar S,"18,918","$39,995 ",(862) 420-3313
2022,Lexus,RX 350L Premium,"13,555","$41,995 ",(862) 420-3313
2023,Ford,Transit 250 Medium Roof AWD,"14,717","$43,000 ",(833) 682-3261
2020,BMW,X3 M,"40,249","$47,235 ",(904) 618-3057
2024,Land Rover,Defender 90 S,"8,788","$50,995 ",(862) 420-3313
2024,Toyota,Land Cruiser,"6,701","$61,259 ",(786) 801-2921
2022,Cadillac,Escalade Sport Platinum,"12,450","$88,838 ",(843) 385-9187
2019,Chevrolet,Equinox LT,"59,851","$15,999 ",(330) 510-3024
2020,Jeep,Renegade Limited,"36,917","$17,279 ",(330) 752-1519
2019,Hyundai,Tucson Value,"46,454","$17,414 ",(630) 442-1143
2020,Volkswagen,Tiguan SE,"48,083","$19,495 ",(908) 340-6820
2018,Tesla,Model S 75D,"56,186","$20,610 ",(330) 752-1519
2020,Chevrolet,Equinox LT,"41,933","$20,912 ",(302) 600-3994
2019,Toyota,RAV4 LE,"43,206","$22,750 ",(330) 752-1519
2022,Hyundai,Tucson SEL,"32,673","$22,900 ",(717) 466-2304
2022,Hyundai,Tucson Limited,"40,229","$24,398 ",(330) 752-1519
2022,Chevrolet,Blazer LT,"33,893","$24,900 ",(717) 466-2304
2020,Tesla,Model Y Long Range,"47,585","$24,999 ",
2022,Toyota,4Runner SR5 Premium,"18,101","$44,727 ",(315) 915-4141
2023,Kia,Sportage X-Line,"14,454","$27,969 ",(680) 697-7333
2025,Subaru,Forester Wilderness,1,"$39,392 ",(680) 697-7334
2020,Lexus,RX 350 AWD,"50,570","$33,900 ",(680) 697-7333
2020,Jeep,Wrangler Unlimited Sahara,"47,123","$27,899 ",(315) 607-8445
2021,Jeep,Grand Cherokee L Overland,"95,390","$26,888 ",(315) 236-4102
2020,Volkswagen,Tiguan SE,"44,320","$19,498 ",(315) 715-7055
2024,Ford,Bronco Sport Big Bend,"5,026","$31,055 ",(315) 715-7055
2021,Ford,Explorer Platinum,"34,855","$35,994 ",(315) 715-7055
2022,Chevrolet,Equinox LT,"32,828","$22,119 ",(315) 887-4147
2021,Kia,Seltos EX,"26,028","$19,900 ",(315) 816-4534
2021,Ford,Bronco Outer Banks,"1,822","$39,500 ",(315) 904-2303
2020,Acura,MDX,"44,790","$30,995 ",(315) 401-0205
2022,Chevrolet,Trax LT,"6,047","$20,547 ",(315) 690-4172
2022,Chevrolet,Equinox RS,"28,958","$24,517 ",(315) 690-4172
2021,Chevrolet,Tahoe RST,"40,687","$53,990 ",(315) 660-2201
2022,Honda,CR-V EX-L,"15,595","$30,822 ",(315) 849-9931
2018,Chevrolet,Equinox LT,"47,979","$16,775 ",(315) 641-7444
2021,Chevrolet,Equinox LT,"37,952","$20,996 ",(315) 641-7444
2018,Chevrolet,Tahoe LT,"66,583","$30,990 ",(315) 641-7444
2021,Toyota,RAV4 LE,"31,116","$24,995 ",(680) 697-7330
2023,Toyota,RAV4 XLE Premium,"15,270","$34,397 ",(680) 697-7330
2022,Toyota,RAV4 XSE,"29,305","$35,333 ",(680) 697-7330
2021,Toyota,RAV4 XSE,"26,644","$38,422 ",(680) 697-7330
2022,Toyota,Highlander Limited,"27,141","$39,997 ",(680) 697-7330
2022,BMW,X2 M35i,"44,311","$30,999 ",(680) 207-3686
2019,Hyundai,Santa Fe Limited,"78,600","$19,699 ",(315) 915-4141
2019,Hyundai,Santa Fe Limited,"78,600","$19,699 ",(315) 915-4141
2020,Jeep,Cherokee Latitude Plus,"39,564","$20,500 ",(315) 915-4141
2025,Nissan,Pathfinder SL,5,"$44,370 ",(315) 800-0203
2022,Chevrolet,TrailBlazer LT,"14,067","$22,028 ",(315) 288-7819
2021,Nissan,Rogue SV,"23,248","$22,999 ",(315) 915-4141
2022,Chevrolet,Equinox LT,"20,709","$23,500 ",(315) 288-7819
2022,Chevrolet,Equinox LT,"21,859","$23,750 ",(315) 288-7819
2019,Nissan,Armada SL,"70,132","$23,999 ",(315) 915-4141
2023,Kia,Sportage EX,"27,123","$25,107 ",(315) 915-4141
2021,Nissan,Rogue SL,"31,142","$25,999 ",(315) 915-4141
2022,Mazda,CX-5 AWD 2.5 S,"18,169","$28,185 ",(315) 752-5643
2021,Jeep,Grand Cherokee Laredo X,"35,783","$28,881 ",(315) 915-4141
2022,Mazda,CX-5 AWD 2.5 S,"4,253","$29,869 ",(315) 915-4141
2024,Mazda,CX-5 AWD 2.5 S,"6,318","$29,960 ",(315) 752-5643
2024,Jeep,Compass Limited,"5,341","$29,995 ",(315) 812-6913
2021,Ford,EcoSport SE,"10,026","$19,685 ",(315) 916-6751
2022,Lincoln,Aviator Reserve,"7,653","$48,495 ",(315) 916-6751
2024,Acura,MDX SH-AWD,"7,527","$46,500 ",(680) 697-7333
