model,Avg_Price,Avg_Mileage,Avg_Value_per_mile
Kicks,20588.0,1411.0,14.59107016300496
Spark,15361.0,17219.25,4.451884905890688
Mazda3,19759.333333333332,35233.0,2.5891601482568816
ID.4,24758.0,10628.0,2.329506962739932
Corolla Hatchback,24950.0,14686.0,1.6988969086204548
Trailblazer,23170.017283950616,26717.6187654321,1.4253364741213348
Trax,22324.86124401914,16808.83014354067,1.3892981136444862
CX-30,24690.817518248175,19564.74695863747,1.2823443066153535
EcoSport,15957.066666666668,49041.86666666667,1.1056515627494752
Encore GX,20786.454545454544,31546.0,0.9893218828563216
Eclipse Cross,20919.2,35505.6,0.9150879468366305
Equinox,22749.914457831324,35616.46295180723,0.9039869569214897
Discovery Sport,24955.0,28818.0,0.8659518356582692
Stelvio,22946.0,27747.0,0.8269722852921036
Seltos,21640.4,28836.7,0.8203982138745622
Kona,20161.2,39129.8,0.818633259034162
Escape,19972.01923076923,43246.0,0.808877169187708
XT4,24000.0,30126.0,0.7989970334605466
Niro,21629.5,44093.75,0.7411921006206998
Renegade,19911.042787286064,30178.44009779951,0.723795802483327
Civic,21174.571428571428,50639.857142857145,0.7231542002458935
Venue,17664.0,25207.0,0.7228508447482893
Compass,21089.283018867925,42589.339622641506,0.7057526998419883
Soul,19747.7400990099,29381.44306930693,0.6783403124502794
Sportage Hybrid,24152.0,36201.0,0.6671638905002624
Prius Prime,22906.0,36864.555555555555,0.6661021968522313
Sportage,20342.88,44105.08,0.6654115516022138
Rogue,22595.552346570395,35127.892900120336,0.6595353090998074
Envision,20336.75,51139.0,0.6296719884000396
Bronco Sport,23665.909090909092,47936.63636363636,0.6236746927394388
C-HR,21747.0,36980.0,0.6231995553745341
Corolla Cross,24974.205445544554,41298.05693069307,0.6050683921566776
Bolt EUV,17591.5,29460.52487562189,0.597121901352821
Santa Fe,21876.8,47696.6,0.5889097190745447
Bolt EV,13128.666666666666,23023.333333333332,0.579896942028389
Encore,16917.88888888889,54377.77777777778,0.5348237247564964
CX-5,22174.222222222223,53046.61111111111,0.5231992661934808
Ioniq Electric,14347.0,31414.5,0.522611485386068
Rogue Sport,17875.14285714286,55532.42857142857,0.5210517486146212
Grand Cherokee WK,23995.0,47136.5,0.5101157559984275
Crosstrek,22953.9,51122.25,0.5027887444008959
LEAF,12785.0,25724.0,0.49700668636292955
Corsair,24850.5,52885.0,0.4746932059082293
Taos,20441.135467980297,43739.62315270936,0.4686114506188385
Tucson,19790.0,55116.63636363636,0.46224571480656507
Tiguan,20908.0,55380.5,0.45642091951778263
Edge,20200.285714285714,58265.42857142857,0.4404595137280842
MDX,24259.0,57151.0,0.4244720127381848
Outlander Sport,16983.875,49105.625,0.416702790788233
XC40,23771.5,60993.75,0.40973446322155327
Atlas Cross Sport,24282.5,61086.5,0.4081208385657796
Passport,22521.0,55293.0,0.4073029135695296
Outlander,19871.31719128329,49227.937046004845,0.4066851274613774
Blazer,22487.166666666668,62213.166666666664,0.3992197687856085
Forester,20417.521739130436,68023.78260869565,0.38559015998943086
Enclave,24294.5,66642.5,0.37979832120612644
Prius,21249.5,56353.0,0.3770706437849194
Ascent,24350.0,69764.5,0.354766922027874
GLE,22555.0,63907.0,0.35293473328430375
Cherokee,19533.157894736843,65916.76315789473,0.34656874089244033
CR-V,21737.619047619046,72456.57142857143,0.3435389573106165
Armada,23988.0,70132.0,0.34204072320766554
CX-3,18600.0,55044.0,0.3379114889906257
GLC,21999.0,65137.0,0.33773431383084884
Outback,21947.5,65680.0,0.33477482117637314
Q3,19577.0,58737.0,0.33329928324565433
Nautilus,22197.5,67964.0,0.3304571236746955
XT5,21500.0,65731.0,0.3270907182303631
Mirage,10779.0,51453.833333333336,0.3267586675777567
Beetle,19995.0,61705.0,0.3240418118466899
Ioniq Hybrid,17800.0,54993.0,0.3236775589620497
Durango,23077.428571428572,77367.14285714286,0.3211923697348585
Explorer,22485.125,75591.625,0.3169369047800364
RAV4,21216.882352941175,71046.41176470589,0.31590858055593113
XC60,22299.666666666668,74494.66666666667,0.3088192573010361
RDX,21737.0,71063.5,0.30754900164379206
Atlas,22345.8,74038.8,0.30736013370100296
Traverse,19656.875,70288.875,0.30654088990019657
Q5,22545.0,74052.0,0.3044482255712202
Sonic,13308.0,43763.0,0.3040924982290976
MKC,18159.25,64893.5,0.3034197189014882
X3,22495.0,75331.0,0.29861544384118094
Grand Cherokee,21077.235294117647,75390.0,0.29861441512150244
Wrangler Unlimited,22336.166666666668,82190.83333333333,0.29664424294489217
Sorento,17980.0,70881.5,0.29112396272922303
HR-V,19092.71186440678,69324.13317191284,0.2866873712017714
Expedition,22790.5,80233.0,0.2842240501859114
Terrain,19703.8,78561.0,0.2634038451989854
NX,21797.0,83293.0,0.2616906582786068
Acadia,21019.166666666668,84117.33333333333,0.25381378850118935
4Runner,24495.0,97196.0,0.2520165438906951
Pilot,21997.0,88599.5,0.24806350782222686
QX60,18642.5,78776.0,0.2384818359291342
CX-9,19895.0,85153.0,0.23363827463506864
Highlander,22288.5,96697.0,0.23066494553538797
Santa Fe Sport,15551.333333333334,74267.33333333333,0.22942727426619489
QX30,15950.0,73896.0,0.21584388870845514
Impreza,16428.0,77793.5,0.21392115452884874
E-PACE,19990.0,96620.0,0.20689298281929208
GLA,15950.0,82657.0,0.19296611297288796
Pathfinder,14995.0,79312.0,0.18896030424981802
Yaris,13505.0,77953.0,0.17324541711031005
Focus,11950.0,70237.0,0.17013824622350043
Murano,15900.0,94204.0,0.16878264192603287
Rio 5-Door,11995.0,72003.0,0.16659028096051554
Golf,11995.0,92775.0,0.1292912961465912
Journey,11745.0,93469.5,0.1255358320348897
Cooper Hardtop,10995.0,88900.0,0.12367829021372329
Cruze,11599.0,94537.0,0.12269270232818896
Elantra,9995.0,93798.0,0.10655877524041024
