BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,PRODUCTION_RELEASE,VEHICLE_CLASS,BODY_FRAME,NUM_OF_SEATING,SEAT_LOC,SEAT_LOC_COMMENTS,MIN_GROSS_WEIGHT,MAX_GROSS_WEIGHT,UPPER_BELT_ANCHORAGE,UPPER_BELT_ANCHORAGE_LOC,SEAT_BELT_PRETENSIONER,SEAT_BELT_PRETENSIONER_LOC,LOAD_LIMITERS,LOAD_LIMITERS_LOC,FRNT_BELT_INDICATOR,FRNT_BELT_LOC,REAR_BELT_INDICATOR,LATCH_REAR_POSITION,HEAD_SAB,HEAD_SAB_TYPE,HEAD_SAB_LOC,HEAD_SAB_MOUNT_LOC,HEAD_SAB_MEET_REQUIREMENTS,HEAD_SAB_DEPLOY_IN_ROLLOVER,TORSO_SAB,TORSO_SAB_TYPE,TORSO_SAB_LOC,TORSO_SAB_MOUNT_LOC,KNEE_BOLSTERS,KNEE_BOLSTERS_LOC,ADL,HEAD_RESTRAINT_IND,DYNAMIC_HEAD_RESTRAINT_IND,BETI,BLIND_SPOT_DETECTION,DAY_RUN_LIGHTS,ADAPTIVE_CRUISE_CONTROL,ABS,ARS,ARS_LOC,AUTO_CRASH_NOTIFICATION,CRASH_DATA_RECORDER,ANTI_THEFT_DEVICE,ANTI_THEFT_DEVICE_TYPE,FRNT_COLLISION_WARNING,NHTSA_FRNT_COLLISION_WARNING,NHTSA_FCW_EVALUATION,LANE_DEPARTURE_WARNING,NHTSA_LANE_DEPARTURE_WARNING,NHTSA_LDW_EVALUATION,CRASH_IMMINENT_BRAKE,NHTSA_CRASH_IMMINENT_BRAKE,NHTSA_CIB_EVALUATION,DYNAMIC_BRAKE_SUPPORT,NHTSA_DYNAMIC_BRAKE_SUPPORT,NHTSA_DBS_EVALUATION,NHTSA_ESC,PELVIS_SAB,PELVIS_SAB_TYPE,PELVIS_SAB_LOC,PELVIS_SAB_MOUNT_LOC,OVERALL_STARS,FRNT_TEST_NO,FRNT_VIN,FRNT_DRIV_STARS,FRNT_PASS_STARS,FRNT_SAFETY_CONCERN_DRIV,FRNT_SAFETY_CONCERN_PASS,FRNT_FOOT_NOTES,FRNT_FOOT_NOTES_PASS,OVERALL_FRNT_STARS,CURB_WEIGHT,FRNT_TESTED_WITH,HIC15_DRIV,CHEST_DEFL_DRIV,LEFT_FEMUR_DRIV,RIGHT_FEMUR_DRIV,NIJ_DRIV,NECK_TENS_DRIV,NET_COMP_DRIV,HIC15_PASS,CHEST_DEFL_PASS,LEFT_FEMUR_PASS,RIGHT_FEMUR_PASS,NIJ_PASS,NECK_TENS_PASS,NET_COMP_PASS,SIDE_TEST_NO,SIDE_VIN,SIDE_DRIV_STARS,SIDE_PASS_STARS,SIDE_BARRIER_STAR,COMB_FRNT_STAR,COMB_REAR_STAR,SIDE_SAFETY_CONCERN_DRIV,SIDE_SAFETY_CONCERN_PASS,SIDE_FOOT_NOTES,SIDE_FOOT_NOTES_PASS,OVERALL_SIDE_STARS,SIDE_TESTED_WITH,SIDE_HIC_36_DRIV,RIB_DEFLECTION_DRIV,ABDOMEN_FORCE_DRIV,SYMPHYSIS_FORCE_DRIV,SIDE_HIC_36_PASS,PELVIC_FORCE_PASS,POLE_TEST_NO,POLE_VIN,SIDE_POLE_STARS,POLE_SAFETY_CONCERN,POLE_FOOT_NOTES,POLE_TESTED_WITH,POLE_HIC_36_DRIV,PELVIC_FORCE,ROLLOVER_POSSIBILITY,STATIC_STABI_FACTOR,TIP,ROLL_SAFETY_CONCERN,ROLL_FOOT_NOTES,ROLLOVER_STARS,NHTSA_BACKUP_CAMERA,BACKUP_CAMERA,car_key,barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,baseModel,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
SUV,MPV,AWD,1.0,SUV,Uni-Body,5,"2-Frt, 3-Rear",,4286.0,4409.0,Optional,"1, 3, 4, 6",Standard,"1,3",Standard,"1,3",Standard,"1, 3",,"4, 6",Standard,Curtain,"1, 3, 4, 6",Roof,Yes,Yes,Standard,Pelvis/Torso,"1, 3, 4, 6",Seat,Standard,"1, 3",,"1, 3, 4, 6",,,Optional,Standard,,,Available,1,Standard,Standard,Standard,"(a) Passive Immobilizer, Passive Alarm",Optional,Optional,,Optional,Optional,,,No,,,No,,,,,,,5.0,8212.0,KL4CJFSB1DB084538,5.0,5.0,,,,,5.0,3346.0,"FRONTAL AIR BAG,KNEE AIR BAG",122.207,21.061,1613.46,1392.719,0.26,1327.482,52.6,207.22,8.436,1108.36,1286.853,0.39,542.233,463.854,9056.0,KL4CJASB9FB033052,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",73.065,17.73,531.815,1724.538,100.33,2990.358,9055.0,KL4CJASB5FB041276,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",382.199,3144.957,0.179,1.21,No Tip,,,4.0,,Standard,2017 BUICK ENCORE,10.62535714,0.0,0.0,0.0,25.0,25.4114,0.0,0.0,0.0,0.0,0.0,313.0,-1.0,0.0,313.0,28.0,28.2523,0.0,0.0,0.0,0.0,0.0,4.0,1.4,Front-Wheel Drive,258.0,,6.0,1700.0,0.0,Regular,Regular Gasoline,6.0,-1.0,33.0,32.7237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37945.0,0.0,0.0,Buick,Encore,Y,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Automatic (S6),32.9,0.0,47.3,0.0,Small Sport Utility Vehicle 2WD,2017.0,0.0,Encore,,,T,,,,,,GMX,,0.0,,Tue Aug 02 00:00:00 EDT 2016,Mon Dec 12 00:00:00 EST 2016,N,0.0,0.0,0.0
SUV,MPV,AWD,1.0,SUV,Uni-Body,5,"2-Frt, 3-Rear",,4286.0,4409.0,Optional,"1, 3, 4, 6",Standard,"1,3",Standard,"1,3",Standard,"1, 3",,"4, 6",Standard,Curtain,"1, 3, 4, 6",Roof,Yes,Yes,Standard,Pelvis/Torso,"1, 3, 4, 6",Seat,Standard,"1, 3",,"1, 3, 4, 6",,,Optional,Standard,,,Available,1,Standard,Standard,Standard,"(a) Passive Immobilizer, Passive Alarm",Optional,Optional,,Optional,Optional,,,No,,,No,,,,,,,5.0,8212.0,KL4CJFSB1DB084538,5.0,5.0,,,,,5.0,3346.0,"FRONTAL AIR BAG,KNEE AIR BAG",122.207,21.061,1613.46,1392.719,0.26,1327.482,52.6,207.22,8.436,1108.36,1286.853,0.39,542.233,463.854,9056.0,KL4CJASB9FB033052,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",73.065,17.73,531.815,1724.538,100.33,2990.358,9055.0,KL4CJASB5FB041276,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",382.199,3144.957,0.179,1.21,No Tip,,,4.0,,Standard,2017 BUICK ENCORE,11.01888889,0.0,0.0,0.0,24.0,24.0885,0.0,0.0,0.0,0.0,0.0,334.0,-1.0,0.0,334.0,27.0,26.5968,0.0,0.0,0.0,0.0,0.0,4.0,1.4,All-Wheel Drive,646.0,,6.0,1750.0,0.0,Regular,Regular Gasoline,6.0,-1.0,30.0,30.4753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37947.0,0.0,0.0,Buick,Encore AWD,Y,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Automatic (S6),31.0,0.0,43.7,0.0,Small Sport Utility Vehicle 4WD,2017.0,-250.0,Encore,,,T,,,,,,GMX,,0.0,,Tue Aug 02 00:00:00 EDT 2016,Mon Dec 12 00:00:00 EST 2016,N,0.0,0.0,0.0
SUV,MPV,AWD,1.0,SUV,Uni-Body,5,"2-Frt, 3-Rear",,4286.0,4409.0,Optional,"1, 3, 4, 6",Standard,"1,3",Standard,"1,3",Standard,"1, 3",,"4, 6",Standard,Curtain,"1, 3, 4, 6",Roof,Yes,Yes,Standard,Pelvis/Torso,"1, 3, 4, 6",Seat,Standard,"1, 3",,"1, 3, 4, 6",,,Optional,Standard,,,Available,1,Standard,Standard,Standard,"(a) Passive Immobilizer, Passive Alarm",Optional,Optional,,Optional,Optional,,,No,,,No,,,,,,,5.0,8212.0,KL4CJFSB1DB084538,5.0,5.0,,,,,5.0,3346.0,"FRONTAL AIR BAG,KNEE AIR BAG",122.207,21.061,1613.46,1392.719,0.26,1327.482,52.6,207.22,8.436,1108.36,1286.853,0.39,542.233,463.854,9056.0,KL4CJASB9FB033052,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",73.065,17.73,531.815,1724.538,100.33,2990.358,9055.0,KL4CJASB5FB041276,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",382.199,3144.957,0.179,1.21,No Tip,,,4.0,,Standard,2017 BUICK ENCORE,9.917,0.0,0.0,0.0,27.0,27.4002,0.0,0.0,0.0,0.0,0.0,298.0,-1.0,0.0,298.0,30.0,29.7891,0.0,0.0,0.0,0.0,0.0,4.0,1.4,Front-Wheel Drive,204.0,SIDI; Stop-Start,7.0,1600.0,0.0,Regular,Regular Gasoline,7.0,-1.0,33.0,33.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38129.0,0.0,0.0,Buick,Encore,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Automatic (S6),35.8,0.0,48.3,0.0,Small Sport Utility Vehicle 2WD,2017.0,500.0,Encore,,,T,,,,,,GMX,,0.0,,Thu Sep 01 00:00:00 EDT 2016,Wed Jul 26 00:00:00 EDT 2017,Y,0.0,0.0,0.0
SUV,MPV,AWD,1.0,SUV,Uni-Body,5,"2-Frt, 3-Rear",,4286.0,4409.0,Optional,"1, 3, 4, 6",Standard,"1,3",Standard,"1,3",Standard,"1, 3",,"4, 6",Standard,Curtain,"1, 3, 4, 6",Roof,Yes,Yes,Standard,Pelvis/Torso,"1, 3, 4, 6",Seat,Standard,"1, 3",,"1, 3, 4, 6",,,Optional,Standard,,,Available,1,Standard,Standard,Standard,"(a) Passive Immobilizer, Passive Alarm",Optional,Optional,,Optional,Optional,,,No,,,No,,,,,,,5.0,8212.0,KL4CJFSB1DB084538,5.0,5.0,,,,,5.0,3346.0,"FRONTAL AIR BAG,KNEE AIR BAG",122.207,21.061,1613.46,1392.719,0.26,1327.482,52.6,207.22,8.436,1108.36,1286.853,0.39,542.233,463.854,9056.0,KL4CJASB9FB033052,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",73.065,17.73,531.815,1724.538,100.33,2990.358,9055.0,KL4CJASB5FB041276,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",382.199,3144.957,0.179,1.21,No Tip,,,4.0,,Standard,2017 BUICK ENCORE,10.62535714,0.0,0.0,0.0,26.0,26.3074,0.0,0.0,0.0,0.0,0.0,315.0,-1.0,0.0,315.0,28.0,28.2456,0.0,0.0,0.0,0.0,0.0,4.0,1.4,All-Wheel Drive,645.0,SIDI,6.0,1700.0,0.0,Regular,Regular Gasoline,6.0,-1.0,31.0,31.0408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38131.0,0.0,0.0,Buick,Encore AWD,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Automatic (S6),34.2,0.0,44.6,0.0,Small Sport Utility Vehicle 4WD,2017.0,0.0,Encore,,,T,,,,,,GMX,,0.0,,Thu Sep 01 00:00:00 EDT 2016,Mon Dec 12 00:00:00 EST 2016,N,0.0,0.0,0.0
SUV,MPV,AWD,1.0,SUV,Uni-Body,5,"2-Frt,3-Rear",,5071.0,5247.0,Optional,"1, 3, 4, 6",Standard,"1,3",Standard,"1,3",Standard,"1, 3",,"4, 6",Standard,Curtain,"1, 3, 4, 6",Roof,Yes,Yes,Standard,Pelvis/Torso,"1, 3, 4, 6",Seat,Standard,"1, 3",,"1, 3, 4, 6",,,Standard,Standard,,,Standard,"1,3",Standard,Standard,Standard,"(a) Passive Immobilizer, Passive Alarm",Standard,Standard,,Standard,Standard,,Optional,No,,Optional,No,,,,,,,5.0,9961.0,LRBFXESX3GD167838,4.0,4.0,,,,,4.0,3989.0,"CURTAIN AIR BAG,FRONTAL AIR BAG,KNEE AIR BAG",220.495,27.689,489.891,1177.278,0.32,1207.168,118.251,161.331,17.942,1024.443,2506.065,0.51,757.405,136.94,9962.0,LRBFXFSX1GD192193,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",76.012,20.279,689.803,1321.585,80.868,2187.814,9963.0,LRBFXFSX6GD172666,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",246.503,2123.781,0.159,1.25,No Tip,,,4.0,,Optional,2017 BUICK ENVISION,12.39625,0.0,0.0,0.0,21.0,21.1786,0.0,0.0,0.0,0.0,0.0,373.0,-1.0,0.0,373.0,24.0,23.7441,0.0,0.0,0.0,0.0,0.0,4.0,2.5,All-Wheel Drive,539.0,SIDI,5.0,2000.0,0.0,Regular,Regular Gasoline,5.0,-1.0,28.0,27.8704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37671.0,0.0,0.0,Buick,Envision AWD,Y,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Automatic 6-spd,26.9,0.0,39.6,0.0,Small Sport Utility Vehicle 4WD,2017.0,-1500.0,Envision,,,,,,,,,GMX,,0.0,,Thu Jul 07 00:00:00 EDT 2016,Mon Dec 12 00:00:00 EST 2016,Y,0.0,0.0,0.0
SUV,MPV,AWD,1.0,SUV,Uni-Body,5,"2-Frt,3-Rear",,5071.0,5247.0,Optional,"1, 3, 4, 6",Standard,"1,3",Standard,"1,3",Standard,"1, 3",,"4, 6",Standard,Curtain,"1, 3, 4, 6",Roof,Yes,Yes,Standard,Pelvis/Torso,"1, 3, 4, 6",Seat,Standard,"1, 3",,"1, 3, 4, 6",,,Standard,Standard,,,Standard,"1,3",Standard,Standard,Standard,"(a) Passive Immobilizer, Passive Alarm",Standard,Standard,,Standard,Standard,,Optional,No,,Optional,No,,,,,,,5.0,9961.0,LRBFXESX3GD167838,4.0,4.0,,,,,4.0,3989.0,"CURTAIN AIR BAG,FRONTAL AIR BAG,KNEE AIR BAG",220.495,27.689,489.891,1177.278,0.32,1207.168,118.251,161.331,17.942,1024.443,2506.065,0.51,757.405,136.94,9962.0,LRBFXFSX1GD192193,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",76.012,20.279,689.803,1321.585,80.868,2187.814,9963.0,LRBFXFSX6GD172666,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",246.503,2123.781,0.159,1.25,No Tip,,,4.0,,Optional,2017 BUICK ENVISION,11.9004,0.0,0.0,0.0,22.0,22.3944,0.0,0.0,0.0,0.0,0.0,356.0,-1.0,0.0,356.0,25.0,24.9374,0.0,0.0,0.0,0.0,0.0,4.0,2.5,Front-Wheel Drive,254.0,SIDI,5.0,1900.0,0.0,Regular,Regular Gasoline,5.0,-1.0,29.0,28.9563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37784.0,0.0,26.0,Buick,Envision FWD,N,False,0.0,75.0,0.0,0.0,0.0,0.0,0.0,Automatic 6-spd,28.6,0.0,41.3,0.0,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Envision,,,,,,,,,GMX,,0.0,,Wed Jul 20 00:00:00 EDT 2016,Mon Dec 12 00:00:00 EST 2016,Y,0.0,0.0,0.0
SUV,MPV,AWD,1.0,SUV,Uni-Body,5,"2-Frt, 3-Rear",,4960.0,5300.0,Optional,"1, 3, 4, 6",Standard,"1,3",Standard,"1,3",Standard,"1, 3",,"4, 6",Standard,Curtain,"1, 3, 4, 6",Roof,Yes,Yes,Standard,Pelvis/Torso,"1, 3",Seat,,,,"1, 3, 4, 6",,,Optional,Standard,,,,,Standard,Standard,Standard,"(b) Passive Immobilizer, Active Alarm",Optional,Optional,,Optional,Optional,,,No,,,No,,,,,,,4.0,7038.0,2CNFLCEC3B6201936,5.0,4.0,,,,,4.0,3936.0,FRONTAL AIR BAG,209.873,17.588,2635.746,2782.631,0.34,1305.61,330.235,132.894,10.396,2313.524,1188.742,0.6,868.482,929.509,7064.0,2CNALDEC0B6213512,4.0,5.0,5.0,4.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO AIR BAG,PELVIS AIR BAG",78.999,34.569,800.603,2430.933,256.073,2229.42,7037.0,2CNALDEC6B6207892,5.0,,,"CURTAIN AIR BAG,TORSO AIR BAG,PELVIS AIR BAG",340.869,3043.302,0.174,1.22,No Tip,,,4.0,,Standard,2017 CHEVROLET EQUINOX,12.93521739,0.0,0.0,0.0,20.0,20.4176,0.0,0.0,0.0,0.0,0.0,381.0,-1.0,0.0,381.0,23.0,23.3291,0.0,0.0,0.0,0.0,0.0,4.0,2.4,All-Wheel Drive,542.0,SIDI,5.0,2050.0,0.0,Regular,Regular Gasoline,5.0,-1.0,28.0,28.2532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37464.0,0.0,0.0,Chevrolet,Equinox AWD,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Automatic 6-spd,25.8453,0.0,40.1978,0.0,Small Sport Utility Vehicle 4WD,2017.0,-1750.0,Equinox,,,,,,,,,GMX,,0.0,,Tue May 24 00:00:00 EDT 2016,Fri Sep 09 00:00:00 EDT 2016,N,0.0,0.0,0.0
SUV,MPV,AWD,1.0,SUV,Uni-Body,5,"2-Frt, 3-Rear",,4960.0,5300.0,Optional,"1, 3, 4, 6",Standard,"1,3",Standard,"1,3",Standard,"1, 3",,"4, 6",Standard,Curtain,"1, 3, 4, 6",Roof,Yes,Yes,Standard,Pelvis/Torso,"1, 3",Seat,,,,"1, 3, 4, 6",,,Optional,Standard,,,,,Standard,Standard,Standard,"(b) Passive Immobilizer, Active Alarm",Optional,Optional,,Optional,Optional,,,No,,,No,,,,,,,4.0,7038.0,2CNFLCEC3B6201936,5.0,4.0,,,,,4.0,3936.0,FRONTAL AIR BAG,209.873,17.588,2635.746,2782.631,0.34,1305.61,330.235,132.894,10.396,2313.524,1188.742,0.6,868.482,929.509,7064.0,2CNALDEC0B6213512,4.0,5.0,5.0,4.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO AIR BAG,PELVIS AIR BAG",78.999,34.569,800.603,2430.933,256.073,2229.42,7037.0,2CNALDEC6B6207892,5.0,,,"CURTAIN AIR BAG,TORSO AIR BAG,PELVIS AIR BAG",340.869,3043.302,0.174,1.22,No Tip,,,4.0,,Standard,2017 CHEVROLET EQUINOX,11.9004,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,355.0,-1.0,0.0,355.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,2.4,Front-Wheel Drive,78.0,SIDI,5.0,1900.0,0.0,Regular,Regular Gasoline,5.0,-1.0,31.0,31.3852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37499.0,0.0,28.0,Chevrolet,Equinox FWD,N,False,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Automatic 6-spd,28.3968,0.0,45.1499,0.0,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Equinox,,,,,,,,,GMX,,0.0,,Thu Jun 02 00:00:00 EDT 2016,Fri Sep 09 00:00:00 EDT 2016,N,0.0,0.0,0.0
SUV,MPV,AWD,1.0,SUV,Uni-Body,5,"2-Frt, 3-Rear",,4286.0,4387.0,Optional,"1, 3, 4, 6",Standard,"1,3",Standard,"1,3",Standard,"1, 3",,"4, 6",Standard,Curtain,"1, 3, 4, 6",Roof,Yes,Yes,Standard,Pelvis/Torso,"1, 3, 4, 6",Seat,Standard,"1, 3",,"1, 3, 4, 6",,,Optional,Standard,,,Available,1,Standard,Standard,Standard,"(a) Passive Immobilizer, Passive Alarm",Optional,Optional,,Optional,Optional,,,No,,,No,,,,,,,5.0,8212.0,KL4CJFSB1DB084538,5.0,5.0,,,,,5.0,3346.0,"FRONTAL AIR BAG,KNEE AIR BAG",122.207,21.061,1613.46,1392.719,0.26,1327.482,52.6,207.22,8.436,1108.36,1286.853,0.39,542.233,463.854,9056.0,KL4CJASB9FB033052,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",73.065,17.73,531.815,1724.538,100.33,2990.358,9055.0,KL4CJASB5FB041276,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",382.199,3144.957,0.179,1.21,No Tip,,,4.0,,Standard,2017 CHEVROLET TRAX,10.62535714,0.0,0.0,0.0,25.0,25.4114,0.0,0.0,0.0,0.0,0.0,313.0,-1.0,0.0,313.0,28.0,28.2523,0.0,0.0,0.0,0.0,0.0,4.0,1.4,Front-Wheel Drive,259.0,,6.0,1700.0,0.0,Regular,Regular Gasoline,6.0,-1.0,33.0,32.7237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37946.0,0.0,0.0,Chevrolet,Trax,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Automatic (S6),32.9,0.0,47.3,0.0,Small Sport Utility Vehicle 2WD,2017.0,0.0,Trax,,,T,,,,,,GMX,,0.0,,Tue Aug 02 00:00:00 EDT 2016,Fri Sep 09 00:00:00 EDT 2016,N,0.0,0.0,0.0
SUV,MPV,AWD,1.0,SUV,Uni-Body,5,"2-Frt, 3-Rear",,4286.0,4387.0,Optional,"1, 3, 4, 6",Standard,"1,3",Standard,"1,3",Standard,"1, 3",,"4, 6",Standard,Curtain,"1, 3, 4, 6",Roof,Yes,Yes,Standard,Pelvis/Torso,"1, 3, 4, 6",Seat,Standard,"1, 3",,"1, 3, 4, 6",,,Optional,Standard,,,Available,1,Standard,Standard,Standard,"(a) Passive Immobilizer, Passive Alarm",Optional,Optional,,Optional,Optional,,,No,,,No,,,,,,,5.0,8212.0,KL4CJFSB1DB084538,5.0,5.0,,,,,5.0,3346.0,"FRONTAL AIR BAG,KNEE AIR BAG",122.207,21.061,1613.46,1392.719,0.26,1327.482,52.6,207.22,8.436,1108.36,1286.853,0.39,542.233,463.854,9056.0,KL4CJASB9FB033052,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",73.065,17.73,531.815,1724.538,100.33,2990.358,9055.0,KL4CJASB5FB041276,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",382.199,3144.957,0.179,1.21,No Tip,,,4.0,,Standard,2017 CHEVROLET TRAX,11.01888889,0.0,0.0,0.0,24.0,24.0885,0.0,0.0,0.0,0.0,0.0,334.0,-1.0,0.0,334.0,27.0,26.5968,0.0,0.0,0.0,0.0,0.0,4.0,1.4,All-Wheel Drive,647.0,,6.0,1750.0,0.0,Regular,Regular Gasoline,6.0,-1.0,30.0,30.4753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37948.0,0.0,0.0,Chevrolet,Trax AWD,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Automatic (S6),31.0,0.0,43.7,0.0,Small Sport Utility Vehicle 4WD,2017.0,-250.0,Trax,,,T,,,,,,GMX,,0.0,,Tue Aug 02 00:00:00 EDT 2016,Fri Sep 09 00:00:00 EDT 2016,N,0.0,0.0,0.0
