car_key,OVERALL_STARS,NUM_OF_SEATING,comb08,Avg_Price,Avg_Mileage,youSaveSpend,cylinders,ROLLOVER_POSSIBILITY,ROLLOVER_STARS,utility_score
2023 NISSAN ROGUE,5.0,7.0,33.0,22713.0,34343.0,1250.0,3.0,0.179,4.0,0.661323071751982
2023 NISSAN ROGUE,5.0,7.0,33.0,22713.0,34343.0,1250.0,3.0,0.179,4.0,0.661323071751982
2023 NISSAN ROGUE,5.0,7.0,32.0,22713.0,34343.0,1000.0,3.0,0.179,4.0,0.6468230717519821
2023 NISSAN ROGUE,5.0,7.0,32.0,22713.0,34343.0,1000.0,3.0,0.179,4.0,0.6468230717519821
2023 NISSAN ROGUE,5.0,7.0,31.0,22713.0,34343.0,750.0,3.0,0.179,4.0,0.632323071751982
2023 NISSAN ROGUE,5.0,7.0,31.0,22713.0,34343.0,750.0,3.0,0.179,4.0,0.632323071751982
2023 NISSAN ROGUE,5.0,7.0,31.0,22713.0,34343.0,750.0,3.0,0.179,4.0,0.632323071751982
2023 NISSAN ROGUE,5.0,7.0,31.0,22713.0,34343.0,750.0,3.0,0.179,4.0,0.632323071751982
2023 CHEVROLET TRAILBLAZER,5.0,5.0,31.0,23179.8,26696.0,750.0,3.0,0.179,4.0,0.4314739585186942
2023 CHEVROLET TRAILBLAZER,5.0,5.0,30.0,23179.8,26696.0,500.0,3.0,0.179,4.0,0.41697395851869423
2024 MAZDA CX-30,5.0,5.0,29.0,24738.0,19264.0,250.0,4.0,0.147,4.0,0.4135526227336537
2018 CHEVROLET TRAX,5.0,5.0,28.0,13999.0,35714.0,0.0,4.0,0.179,4.0,0.4046739130434783
2018 MAZDA CX-5,5.0,5.0,28.0,20464.5,56079.0,0.0,4.0,0.169,4.0,0.39726093876663304
2018 SUBARU FORESTER,5.0,5.0,28.0,21164.33333333333,37920.66666666666,0.0,4.0,0.169,4.0,0.395987935886536
2023 CHEVROLET EQUINOX,5.0,5.0,28.0,24222.5,26172.0,0.0,4.0,0.164,4.0,0.3925990173398976
2018 CHEVROLET TRAX,5.0,5.0,27.0,13999.0,35714.0,-250.0,4.0,0.179,4.0,0.39017391304347826
2022 CHEVROLET EQUINOX,5.0,5.0,28.0,20857.0,43173.333333333336,0.0,4.0,0.185,4.0,0.38959045613618837
2023 CHEVROLET TRAILBLAZER,5.0,5.0,28.0,23179.8,26696.0,0.0,3.0,0.179,4.0,0.38797395851869426
2022 CHEVROLET EQUINOX,5.0,5.0,27.0,20857.0,43173.333333333336,-250.0,4.0,0.185,4.0,0.37509045613618835
2018 MAZDA CX-5,5.0,5.0,26.0,20464.5,56079.0,-500.0,4.0,0.169,4.0,0.368260938766633
2018 FORD ESCAPE,5.0,5.0,26.0,16900.0,19985.0,-500.0,4.0,0.185,4.0,0.36778827332582
2023 CHEVROLET EQUINOX,5.0,5.0,26.0,24222.5,26172.0,-500.0,4.0,0.164,4.0,0.3635990173398976
2024 MAZDA CX-30,5.0,5.0,25.0,24738.0,19264.0,-1000.0,4.0,0.147,4.0,0.3555526227336536
2018 FORD ESCAPE,5.0,5.0,24.0,16900.0,19985.0,-1500.0,4.0,0.185,4.0,0.33878827332582
2018 FORD ESCAPE,5.0,5.0,24.0,16900.0,19985.0,-1500.0,4.0,0.185,4.0,0.33878827332582
2018 FORD ESCAPE,5.0,5.0,24.0,16900.0,19985.0,-1500.0,4.0,0.185,4.0,0.33878827332582
2018 SUBARU FORESTER,5.0,5.0,24.0,21164.33333333333,37920.66666666666,-1500.0,4.0,0.169,4.0,0.33798793588653603
2018 FORD ESCAPE,5.0,5.0,23.0,16900.0,19985.0,-1750.0,4.0,0.185,4.0,0.32428827332582
2018 NISSAN ROGUE,4.0,6.0,34.0,18499.0,50662.0,1500.0,4.0,0.164,4.0,0.30001011329260346
2018 NISSAN ROGUE,4.0,6.0,34.0,18499.0,50662.0,1500.0,4.0,0.164,4.0,0.30001011329260346
2018 NISSAN ROGUE,4.0,6.0,33.0,18499.0,50662.0,1250.0,4.0,0.164,4.0,0.28551011329260345
2018 NISSAN ROGUE,4.0,6.0,33.0,18499.0,50662.0,1250.0,4.0,0.164,4.0,0.28551011329260345
2018 NISSAN ROGUE,4.0,6.0,29.0,18499.0,50662.0,250.0,4.0,0.164,4.0,0.2275101132926034
2018 NISSAN ROGUE,4.0,6.0,29.0,18499.0,50662.0,250.0,4.0,0.164,4.0,0.2275101132926034
2018 NISSAN ROGUE,4.0,6.0,27.0,18499.0,50662.0,-250.0,4.0,0.164,4.0,0.19851011329260337
2018 NISSAN ROGUE,4.0,6.0,27.0,18499.0,50662.0,-250.0,4.0,0.164,4.0,0.19851011329260337
2022 VOLKSWAGEN TAOS,4.0,5.0,31.0,20418.0,43868.0,750.0,4.0,0.147,4.0,0.1604107400597109
2022 VOLKSWAGEN TAOS,4.0,5.0,28.0,20418.0,43868.0,0.0,4.0,0.147,4.0,0.11691074005971094
2018 MAZDA CX-5,4.0,5.0,28.0,20464.5,56079.0,0.0,4.0,0.174,4.0,0.1050870257231548
2018 MAZDA CX-5,4.0,5.0,26.0,20464.5,56079.0,-500.0,4.0,0.174,4.0,0.07608702572315476
2018 JEEP COMPASS,4.0,5.0,26.0,16995.0,36936.0,-500.0,4.0,0.206,3.0,0.06848503272238367
2022 JEEP RENEGADE,4.0,5.0,27.0,20291.0,39423.333333333336,-250.0,4.0,0.228,3.0,0.06742436285268007
2018 JEEP COMPASS,4.0,5.0,25.0,16995.0,36936.0,-1000.0,4.0,0.206,3.0,0.053985032722383655
2018 JEEP COMPASS,4.0,5.0,25.0,16995.0,36936.0,-1000.0,4.0,0.206,3.0,0.053985032722383655
2018 JEEP COMPASS,4.0,5.0,25.0,16995.0,36936.0,-1000.0,4.0,0.206,3.0,0.053985032722383655
2022 JEEP RENEGADE,4.0,5.0,26.0,20291.0,39423.333333333336,-500.0,4.0,0.228,3.0,0.05292436285268005
2022 JEEP RENEGADE,4.0,5.0,24.0,20291.0,39423.333333333336,-1500.0,4.0,0.228,3.0,0.02392436285268009
2017 BUICK ENCORE,5.0,5.0,28.0,,,0.0,4.0,0.179,4.0,
2017 BUICK ENCORE,5.0,5.0,27.0,,,-250.0,4.0,0.179,4.0,
2017 BUICK ENCORE,5.0,5.0,30.0,,,500.0,4.0,0.179,4.0,
2017 BUICK ENCORE,5.0,5.0,28.0,,,0.0,4.0,0.179,4.0,
2017 BUICK ENVISION,5.0,5.0,24.0,,,-1500.0,4.0,0.159,4.0,
2017 BUICK ENVISION,5.0,5.0,25.0,,,-1000.0,4.0,0.159,4.0,
2017 CHEVROLET EQUINOX,4.0,5.0,23.0,,,-1750.0,4.0,0.174,4.0,
2017 CHEVROLET EQUINOX,4.0,5.0,25.0,,,-1000.0,4.0,0.174,4.0,
2017 CHEVROLET TRAX,5.0,5.0,28.0,,,0.0,4.0,0.179,4.0,
2017 CHEVROLET TRAX,5.0,5.0,27.0,,,-250.0,4.0,0.179,4.0,
2017 FORD EDGE,5.0,5.0,24.0,,,-1500.0,4.0,0.155,4.0,
2017 FORD EDGE,5.0,5.0,24.0,,,-1500.0,4.0,0.155,4.0,
2017 FORD EDGE,5.0,5.0,23.0,,,-1750.0,4.0,0.155,4.0,
2017 FORD ESCAPE,5.0,5.0,24.0,,,-1500.0,4.0,0.185,4.0,
2017 FORD ESCAPE,5.0,5.0,26.0,,,-500.0,4.0,0.185,4.0,
2017 FORD ESCAPE,5.0,5.0,25.0,,,-1000.0,4.0,0.185,4.0,
2017 FORD ESCAPE,5.0,5.0,23.0,,,-1750.0,4.0,0.185,4.0,
2017 FORD ESCAPE,5.0,5.0,24.0,,,-1500.0,4.0,0.185,4.0,
2017 FORD EXPLORER,,,,21995.0,40080.0,,,,,
2017 GMC ACADIA,5.0,6.0,23.0,,,-1750.0,4.0,0.15,4.0,
2017 GMC ACADIA,5.0,6.0,23.0,,,-1750.0,4.0,0.15,4.0,
2017 GMC TERRAIN,4.0,5.0,23.0,,,-1750.0,4.0,0.174,4.0,
2017 GMC TERRAIN,4.0,5.0,25.0,,,-1000.0,4.0,0.174,4.0,
2017 HONDA CR-V,5.0,5.0,28.0,,,0.0,4.0,0.162,4.0,
2017 HONDA CR-V,5.0,5.0,30.0,,,500.0,4.0,0.162,4.0,
2017 HONDA CR-V,5.0,5.0,27.0,,,-250.0,4.0,0.162,4.0,
2017 HONDA CR-V,5.0,5.0,29.0,,,250.0,4.0,0.162,4.0,
2017 HONDA PILOT,5.0,7.5,23.0,,,-1750.0,6.0,0.164,4.0,
2017 HYUNDAI TUCSON,5.0,5.0,26.0,,,-500.0,4.0,0.162,4.0,
2017 HYUNDAI TUCSON,5.0,5.0,27.0,,,-250.0,4.0,0.162,4.0,
2017 HYUNDAI TUCSON,5.0,5.0,28.0,,,0.0,4.0,0.162,4.0,
2017 HYUNDAI TUCSON,5.0,5.0,23.0,,,-1750.0,4.0,0.162,4.0,
2017 HYUNDAI TUCSON,5.0,5.0,25.0,,,-1000.0,4.0,0.162,4.0,
2017 HYUNDAI TUCSON,5.0,5.0,27.0,,,-250.0,4.0,0.162,4.0,
2017 INFINITI QX60,5.0,7.0,26.0,,,-500.0,4.0,0.179,4.0,
2017 INFINITI QX60,5.0,7.0,26.0,,,-500.0,4.0,0.179,4.0,
2017 JEEP CHEROKEE,4.0,5.0,25.0,,,-1000.0,4.0,0.169,4.0,
2017 JEEP CHEROKEE,4.0,5.0,23.0,,,-1750.0,4.0,0.169,4.0,
2017 JEEP CHEROKEE,4.0,5.0,23.0,,,-1750.0,4.0,0.169,4.0,
2017 JEEP COMPASS,4.0,5.0,23.0,,,-1750.0,4.0,0.164,4.0,
